지점,날짜,평균기온(℃),최고기온(℃),최저기온(℃),일강수량(mm),평균풍속(m/s),평균 상대습도(%)
221,2015-03-31,7.9,7.9,7.9,0.0,1.0,67.0
221,2015-04-01,10.9,10.9,10.9,0.0,0.1,93.9
221,2015-04-02,5.3,5.3,5.3,0.0,2.4,77.8
226,2015-03-31,7.9,7.9,7.9,0.0,0.7,62.5
226,2015-04-01,11.6,11.6,11.6,0.0,0.6,99.9
226,2015-04-02,8.6,8.6,8.6,0.0,2.2,75.9
229,2015-03-31,6.4,6.4,6.4,0.0,6.4,99.3
229,2015-04-01,8.4,8.4,8.4,0.0,4.7,99.3
229,2015-04-02,8.5,8.5,8.5,0.0,7.3,99.3
232,2015-03-31,8.6,8.6,8.6,0.0,0.9,75.0
232,2015-04-01,13.0,13.0,13.0,0.0,0.9,96.9
232,2015-04-02,10.6,10.6,10.6,0.0,3.3,70.5
233,2015-03-31,8.7,8.7,8.7,0.0,0.2,
233,2015-04-01,12.5,12.5,12.5,0.0,1.0,
233,2015-04-02,10.3,10.3,10.3,0.0,2.4,
235,2015-03-31,9.0,9.0,9.0,0.0,0.8,99.9
235,2015-04-01,13.9,13.9,13.9,0.0,1.1,99.9
235,2015-04-02,12.1,12.1,12.1,0.0,1.4,77.8
236,2015-03-31,8.7,8.7,8.7,0.0,0.4,87.4
236,2015-04-01,12.6,12.6,12.6,0.0,0.1,98.8
236,2015-04-02,10.3,10.3,10.3,0.0,1.6,80.8
238,2015-03-31,9.9,9.9,9.9,0.0,0.3,76.3
238,2015-04-01,12.3,12.3,12.3,0.0,0.6,99.8
238,2015-04-02,9.5,9.5,9.5,0.0,1.2,87.5
243,2015-03-31,8.1,8.1,8.1,0.0,0.2,88.2
243,2015-04-01,13.6,13.6,13.6,0.0,0.5,89.6
243,2015-04-02,12.6,12.6,12.6,0.0,2.4,90.5
244,2015-03-31,7.9,7.9,7.9,0.0,0.3,78.7
244,2015-04-01,13.0,13.0,13.0,0.0,0.8,96.0
244,2015-04-02,9.7,9.7,9.7,0.0,2.4,79.1
245,2015-03-31,10.4,10.4,10.4,0.0,0.1,90.7
245,2015-04-01,15.4,15.4,15.4,0.0,0.5,95.7
245,2015-04-02,13.4,13.4,13.4,0.0,2.0,90.6
247,2015-03-31,9.8,9.8,9.8,0.0,1.6,85.2
247,2015-04-01,13.5,13.5,13.5,0.0,0.4,87.7
247,2015-04-02,10.0,10.0,10.0,0.0,3.4,73.1
248,2015-03-31,7.7,7.7,7.7,0.0,0.4,99.9
248,2015-04-01,13.6,13.6,13.6,0.0,0.2,
248,2015-04-02,9.8,9.8,9.8,0.0,2.1,92.8
251,2015-03-31,11.0,11.0,11.0,0.0,0.1,83.3
251,2015-04-01,16.5,16.5,16.5,0.0,0.6,84.7
251,2015-04-02,13.9,13.9,13.9,0.0,3.7,86.5
252,2015-03-31,10.7,10.7,10.7,0.0,2.1,87.5
252,2015-04-01,15.9,15.9,15.9,0.0,1.7,88.8
252,2015-04-02,12.8,12.8,12.8,0.0,4.4,83.2
253,2015-03-31,13.6,13.6,13.6,0.0,0.7,60.7
253,2015-04-01,15.3,15.3,15.3,0.0,0.1,97.9
253,2015-04-02,10.6,10.6,10.6,0.0,0.7,68.6
254,2015-03-31,11.7,11.7,11.7,0.0,2.1,78.4
254,2015-04-01,15.0,15.0,15.0,0.0,0.0,94.3
254,2015-04-02,11.6,11.6,11.6,0.0,1.4,93.7
255,2015-03-31,13.0,13.0,13.0,0.0,0.6,76.5
255,2015-04-01,14.1,14.1,14.1,0.0,0.1,99.4
255,2015-04-02,9.8,9.8,9.8,0.0,0.5,82.2
257,2015-03-31,11.9,11.9,11.9,0.0,1.9,69.9
257,2015-04-01,14.5,14.5,14.5,0.0,0.2,88.6
257,2015-04-02,10.6,10.6,10.6,0.0,3.9,70.6
258,2015-03-31,8.8,8.8,8.8,0.0,1.6,85.0
258,2015-04-01,14.4,14.4,14.4,0.0,1.1,87.7
258,2015-04-02,11.1,11.1,11.1,0.0,3.6,78.5
259,2015-03-31,9.2,9.2,9.2,0.0,0.4,96.2
259,2015-04-01,14.3,14.3,14.3,0.0,0.5,98.7
259,2015-04-02,11.7,11.7,11.7,0.0,3.5,81.3
260,2015-03-31,9.3,9.3,9.3,0.0,0.1,99.9
260,2015-04-01,14.9,14.9,14.9,0.0,0.5,
260,2015-04-02,11.6,11.6,11.6,0.0,2.7,96.6
261,2015-03-31,9.2,9.2,9.2,0.0,0.5,99.9
261,2015-04-01,16.0,16.0,16.0,0.0,1.3,99.9
261,2015-04-02,11.9,11.9,11.9,0.0,4.7,83.0
262,2015-03-31,8.9,8.9,8.9,0.0,0.2,96.1
262,2015-04-01,14.4,14.4,14.4,0.0,1.0,98.3
262,2015-04-02,11.5,11.5,11.5,0.0,1.9,82.7
263,2015-03-31,10.5,10.5,10.5,0.0,0.0,87.9
263,2015-04-01,13.7,13.7,13.7,0.0,0.3,93.1
263,2015-04-02,9.3,9.3,9.3,0.0,0.8,86.2
264,2015-03-31,8.3,8.3,8.3,0.0,0.0,95.4
264,2015-04-01,12.0,12.0,12.0,0.0,0.0,96.4
264,2015-04-02,9.2,9.2,9.2,0.0,0.3,90.2
266,2015-03-31,13.0,13.0,13.0,0.0,0.4,89.8
266,2015-04-01,15.2,15.2,15.2,0.0,0.0,97.3
266,2015-04-02,9.8,9.8,9.8,0.0,4.9,94.4
268,2015-03-31,9.7,9.7,9.7,0.0,0.0,98.5
268,2015-04-01,14.5,14.5,14.5,0.0,1.5,99.9
268,2015-04-02,12.3,12.3,12.3,0.0,5.2,80.9
271,2015-03-31,5.0,5.0,5.0,0.0,0.8,75.3
271,2015-04-01,10.1,10.1,10.1,0.0,0.2,97.9
271,2015-04-02,1.8,1.8,1.8,0.0,2.0,97.9
272,2015-03-31,15.2,15.2,15.2,0.0,5.0,38.3
272,2015-04-01,11.5,11.5,11.5,0.0,1.1,95.5
272,2015-04-02,7.9,7.9,7.9,0.0,1.1,83.5
273,2015-03-31,14.4,14.4,14.4,0.0,2.5,35.9
273,2015-04-01,11.6,11.6,11.6,0.0,0.7,93.1
273,2015-04-02,7.3,7.3,7.3,0.0,1.5,82.9
276,2015-03-31,9.1,9.1,9.1,0.0,0.8,69.9
276,2015-04-01,12.0,12.0,12.0,0.0,0.0,89.1
276,2015-04-02,7.2,7.2,7.2,0.0,0.0,76.9
277,2015-03-31,16.0,16.0,16.0,0.0,3.3,47.6
277,2015-04-01,14.7,14.7,14.7,0.0,0.7,86.1
277,2015-04-02,8.5,8.5,8.5,0.0,1.8,72.4
278,2015-03-31,7.5,7.5,7.5,0.0,0.6,84.5
278,2015-04-01,12.3,12.3,12.3,0.0,0.0,97.7
278,2015-04-02,8.2,8.2,8.2,0.0,0.3,84.5
279,2015-03-31,12.0,12.0,12.0,0.0,1.3,72.4
279,2015-04-01,13.9,13.9,13.9,0.0,0.3,91.2
279,2015-04-02,9.6,9.6,9.6,0.0,1.1,80.7
281,2015-03-31,14.8,14.8,14.8,0.0,1.7,59.5
281,2015-04-01,14.2,14.2,14.2,0.0,0.6,94.4
281,2015-04-02,9.1,9.1,9.1,0.0,0.5,77.5
283,2015-03-31,10.3,10.3,10.3,0.0,1.7,76.7
283,2015-04-01,14.7,14.7,14.7,0.0,0.6,85.1
283,2015-04-02,8.3,8.3,8.3,0.0,2.4,80.1
284,2015-03-31,9.0,9.0,9.0,0.0,0.3,87.4
284,2015-04-01,11.4,11.4,11.4,0.0,0.0,97.7
284,2015-04-02,7.8,7.8,7.8,0.0,0.6,88.1
285,2015-03-31,10.5,10.5,10.5,0.0,0.6,83.1
285,2015-04-01,12.7,12.7,12.7,0.0,0.0,93.3
285,2015-04-02,8.7,8.7,8.7,0.0,0.4,83.8
288,2015-03-31,9.6,9.6,9.6,0.0,0.1,77.8
288,2015-04-01,14.0,14.0,14.0,0.0,0.0,92.6
288,2015-04-02,10.1,10.1,10.1,0.0,0.5,72.0
289,2015-03-31,10.3,10.3,10.3,0.0,0.4,86.2
289,2015-04-01,12.6,12.6,12.6,0.0,0.6,93.8
289,2015-04-02,9.2,9.2,9.2,0.0,1.1,78.0
294,2015-03-31,14.3,14.3,14.3,0.0,1.5,70.3
294,2015-04-01,13.9,13.9,13.9,0.5,0.5,90.4
294,2015-04-02,10.9,10.9,10.9,0.0,2.5,70.4
295,2015-03-31,11.1,11.1,11.1,0.0,1.0,89.5
295,2015-04-01,13.8,13.8,13.8,0.5,0.4,97.4
295,2015-04-02,9.8,9.8,9.8,0.0,1.8,88.9
300,2015-03-31,10.3,10.3,10.3,0.0,,
300,2015-04-01,13.6,13.6,13.6,0.0,,
300,2015-04-02,10.2,10.2,10.2,0.0,,
301,2015-03-31,10.1,10.1,10.1,0.0,0.4,99.9
301,2015-04-01,13.4,13.4,13.4,0.0,0.0,99.9
301,2015-04-02,11.6,11.6,11.6,0.0,5.3,99.9
302,2015-03-31,11.3,11.3,11.3,0.0,0.7,99.9
302,2015-04-01,13.6,13.6,13.6,0.0,0.0,99.9
302,2015-04-02,11.2,11.2,11.2,0.0,5.0,99.9
303,2015-03-31,12.5,12.5,12.5,0.0,0.8,99.4
303,2015-04-01,14.2,14.2,14.2,0.0,0.9,99.9
303,2015-04-02,10.5,10.5,10.5,0.0,6.2,99.9
304,2015-03-31,11.7,11.7,11.7,0.0,2.1,99.9
304,2015-04-01,14.1,14.1,14.1,0.0,2.0,99.9
304,2015-04-02,11.6,11.6,11.6,0.0,3.7,79.8
305,2015-03-31,15.2,15.2,15.2,0.0,3.3,
305,2015-04-01,13.6,13.6,13.6,0.0,0.5,
305,2015-04-02,11.5,11.5,11.5,0.0,4.5,
306,2015-03-31,12.4,12.4,12.4,0.0,0.1,86.7
306,2015-04-01,13.8,13.8,13.8,0.0,0.8,86.7
306,2015-04-02,11.2,11.2,11.2,0.0,1.8,76.9
308,2015-03-31,10.6,10.6,10.6,0.0,1.5,95.7
308,2015-04-01,12.5,12.5,12.5,0.0,1.4,97.9
308,2015-04-02,11.7,11.7,11.7,0.0,7.6,91.0
310,2015-03-31,17.7,17.7,17.7,0.0,2.2,34.7
310,2015-04-01,13.4,13.4,13.4,0.0,2.8,77.9
310,2015-04-02,6.4,6.4,6.4,0.0,0.0,93.6
311,2015-03-31,7.1,7.1,7.1,0.0,0.9,89.1
311,2015-04-01,10.4,10.4,10.4,0.0,0.0,97.5
311,2015-04-02,5.0,5.0,5.0,0.0,0.3,97.5
312,2015-03-31,9.7,9.7,9.7,0.0,0.3,84.1
312,2015-04-01,12.1,12.1,12.1,0.0,0.3,96.8
312,2015-04-02,7.5,7.5,7.5,0.0,2.0,83.6
313,2015-03-31,13.3,13.3,13.3,0.0,1.5,78.2
313,2015-04-01,13.2,13.2,13.2,0.5,0.9,99.9
313,2015-04-02,10.4,10.4,10.4,0.0,7.3,82.4
314,2015-03-31,3.1,3.1,3.1,0.0,9.2,
314,2015-04-01,10.4,10.4,10.4,0.5,2.5,
314,2015-04-02,7.4,7.4,7.4,0.0,2.7,
315,2015-03-31,7.0,7.0,7.0,0.0,1.9,90.4
315,2015-04-01,12.3,12.3,12.3,0.5,3.2,99.9
315,2015-04-02,4.4,4.4,4.4,0.0,4.5,99.9
